,Week,Color,Avg_Return,Volatility
0,1,Red,0.000118638,0.002753567
1,2,Red,-0.000680675,0.002934256
2,3,Green,0.00301873,0.004285473
3,4,Green,-0.00136092,0.002540212
4,5,Green,0.00247832,0.003373755
5,6,Green,0.003550634,0.002284721
6,7,Green,0.001830233,0.002539503
7,8,Green,0.001566518,0.006850634
8,9,Red,-0.001184686,0.001801286
9,10,Green,0.001373747,0.004393021
10,11,Red,-0.002881297,0.005182611
11,12,Green,0.001928648,0.003064306
12,13,Red,-0.000718265,0.002145012
13,14,Red,-3.49E-05,0.004957614
14,15,Green,0.002767975,0.005054808
15,16,Green,0.000135484,0.001673408
16,17,Red,0.000521076,0.002117145
17,18,Red,-0.00215576,0.008270106
18,19,Green,0.004181359,0.001664184
19,20,Green,0.001657037,0.003643994
20,21,Red,0.000347402,0.002231797
21,22,Green,-4.99E-06,0.002512643
22,23,Green,0.000219933,0.004792916
23,24,Red,-0.001208442,0.006585115
24,25,Green,-0.000818121,0.004812574
25,26,Green,0.003202277,0.003218089
26,27,Green,0.002186152,0.002352227
27,28,Green,8.17E-05,0.001232375
28,29,Green,-0.00019318,0.001447597
29,30,Red,-0.00258707,0.005976832
30,31,Red,-0.000515652,0.008309892
31,32,Green,0.000752115,0.005056949
32,33,Green,0.002855098,0.002220236
33,34,Red,-0.000618865,0.003991224
34,35,Green,0.002604408,0.004310946
35,36,Green,0.000430999,0.001656295
36,37,Green,0.000770525,0.001908958
37,38,Green,0.00342111,0.001658867
38,39,Green,-1.42E-05,0.001770422
39,40,Green,0.000901645,0.000380901
40,41,Green,-0.000125831,0.003766783
41,42,Green,0.001543926,0.00382445
42,43,Red,0.000452824,0.002410452
43,44,Red,0.000358621,0.004539402
44,45,Green,0.001106474,0.003544083
45,46,Green,0.004020325,0.004576237
46,47,Green,-0.00070777,0.002288321
47,48,Green,0.001206393,0.003205149
48,49,Green,0.002472786,0.004432983
49,50,Red,0.000271609,0.001190992
50,51,Green,0.003481653,0.004322174
51,52,Green,0.003304514,0.003281986
52,53,Green,0.002737867,0.005428815
53,54,Green,0.002967706,0.00308586
54,55,Red,-0.001189539,0.007451985
55,56,Red,-0.017364781,0.022538316
56,57,Green,0.011689946,0.004672472
57,58,Green,-0.002411574,0.003257752
58,59,Red,-0.001921083,0.012964626
59,60,Green,0.004744021,0.003939554
60,61,Red,0.00069268,0.008617528
61,62,Red,-0.00753235,0.010315297
62,63,Green,0.000964368,0.016542128
63,64,Green,0.000305465,0.013179376
64,65,Green,0.002236021,0.006276548
65,66,Red,-0.001891876,0.00830485
66,67,Red,-0.002779239,0.00386109
67,68,Green,0.007069278,0.004691383
68,69,Red,1.43E-07,0.003882367
69,70,Green,0.000588215,0.004013561
70,71,Green,-0.001666184,0.009252723
71,72,Green,0.00470983,0.003962215
72,73,Green,0.00098105,0.00218553
73,74,Red,-0.002345658,0.002655097
74,75,Red,-0.002428425,0.007285149
75,76,Green,0.002051112,0.004148574
76,77,Green,0.004562499,0.006279624
77,78,Green,0.000454118,0.002660979
78,79,Green,0.00238242,0.003997672
79,80,Green,-0.000658666,0.005055707
80,81,Red,0.00189356,0.002316352
81,82,Green,-0.000687782,0.00661048
82,83,Green,0.001216846,0.001853973
83,84,Green,0.003145832,0.004351042
84,85,Red,-0.001847262,0.001185536
85,86,Green,0.001849847,0.00266839
86,87,Green,0.001894622,0.004612251
87,88,Red,-0.001072229,0.002179185
88,89,Red,-0.000854505,0.003745849
89,90,Red,-0.012149188,0.012515354
90,91,Green,0.003174891,0.013120599
91,92,Red,-0.004496013,0.015395752
92,93,Green,0.002602743,0.012272445
93,94,Green,0.005103156,0.009348701
94,95,Red,-0.005344928,0.009600901
95,96,Red,-0.007353185,0.010376194
96,97,Green,0.006734061,0.011178315
97,98,Red,-0.003645684,0.017403703
98,99,Red,-0.003283065,0.010150283
99,100,Red,-0.014086676,0.006694734
